symbol,Name,Score
🎀,RIBBON,39136729
📌,PUSHPIN,38442132
⚠️,WARNING SIGN,37973448
☑️,BALLOT BOX WITH CHECK,37600487
☎️,BLACK TELEPHONE,37467822
↪️,RIGHTWARDS ARROW WITH HOOK,37380721
😨,FEARFUL FACE,37362543
🙆,FACE WITH OK GESTURE,37296013
🍻,CLINKING BEER MUGS,37211550
😙,KISSING FACE WITH SMILING EYES,37111749
💤,SLEEPING SYMBOL,36984314
◀️,BLACK LEFT-POINTING TRIANGLE,36436039
🎤,MICROPHONE,36091354
❄️,SNOWFLAKE,35777103
🐶,DOG FACE,35636953
💸,MONEY WITH WINGS,35446227
😲,ASTONISHED FACE,35251733
⬇️,DOWNWARDS BLACK ARROW,35038254
🎄,CHRISTMAS TREE,34674398
🔞,NO ONE UNDER EIGHTEEN SYMBOL,34081879
🌿,HERB,33654577
💌,LOVE LETTER,33456859
↩️,LEFTWARDS ARROW WITH HOOK,33099918
💝,HEART WITH RIBBON,32598396
🌼,BLOSSOM,32509391
🙅,FACE WITH NO GOOD GESTURE,32396536
📲,MOBILE PHONE WITH RIGHTWARDS ARROW AT LEFT,31509140
🍕,SLICE OF PIZZA,31389821
📢,PUBLIC ADDRESS LOUDSPEAKER,30862006
💅,NAIL POLISH,30587239
😯,HUSHED FACE,29975822
🚶,PEDESTRIAN,29881912
😿,CRYING CAT FACE,29224706
🌴,PALM TREE,29167176
😵,DIZZY FACE,29031814
🐳,SPOUTING WHALE,28942274
💟,HEART DECORATION,28709185
📺,TELEVISION,28671765
🐐,GOAT,28602119
🙇,PERSON BOWING DEEPLY,28342493
😧,ANGUISHED FACE,28332449
🎯,DIRECT HIT,27900779
😼,CAT FACE WITH WRY SMILE,27875542
👽,EXTRATERRESTRIAL ALIEN,27827396
🌝,FULL MOON WITH FACE,27804052
🌎,EARTH GLOBE AMERICAS,27535738
⏰,ALARM CLOCK,27064348
🍁,MAPLE LEAF,26827590
🍑,PEACH,26826655
👐,OPEN HANDS SIGN,26409862
🐱,CAT FACE,26341569
🏃,RUNNER,25917924
🌍,EARTH GLOBE EUROPE-AFRICA,25900268
🍂,FALLEN LEAF,25675022
🐧,PENGUIN,25300359
😗,KISSING FACE,25278494
🌊,WATER WAVE,25145604
🕥,CLOCK FACE TEN-THIRTY,25099568
📣,CHEERING MEGAPHONE,25033752
🏀,BASKETBALL AND HOOP,24913611
