symbol,Name,Score
🎌,CROSSED FLAGS,1649461
🔲,BLACK SQUARE BUTTON,1630158
📃,PAGE WITH CURL,1627020
🕓,CLOCK FACE FOUR OCLOCK,1626215
📶,ANTENNA WITH BARS,1606105
🔭,TELESCOPE,1598563
🕑,CLOCK FACE TWO OCLOCK,1596304
🎏,CARP STREAMER,1591052
💹,CHART WITH UPWARDS TREND AND YEN SIGN,1588174
💽,MINIDISC,1573962
🚣,ROWBOAT,1561316
⏫,BLACK UP-POINTING DOUBLE TRIANGLE,1546814
🌉,BRIDGE AT NIGHT,1526187
🕙,CLOCK FACE TEN OCLOCK,1514450
📴,MOBILE PHONE OFF,1472889
📓,NOTEBOOK,1466096
💱,CURRENCY EXCHANGE,1461225
👘,KIMONO,1401322
🔂,CLOCKWISE RIGHTWARDS AND LEFTWARDS OPEN CIRCLE ARROWS WITH CIRCLED ONE OVERLAY,1393058
🔧,WRENCH,1390850
🔦,ELECTRIC TORCH,1390071
📏,STRAIGHT RULER,1388354
🌁,FOGGY,1364295
🔬,MICROSCOPE,1349344
🚍,ONCOMING BUS,1347730
💺,SEAT,1343577
🕘,CLOCK FACE NINE OCLOCK,1341867
📗,GREEN BOOK,1338852
🎑,MOON VIEWING CEREMONY,1329729
📒,LEDGER,1315783
🏬,DEPARTMENT STORE,1277246
🐁,MOUSE,1277114
🚜,TRACTOR,1273707
🍶,SAKE BOTTLE AND CUP,1273278
◽️,WHITE MEDIUM SMALL SQUARE,1268999
🔳,WHITE SQUARE BUTTON,1268441
🔯,SIX POINTED STAR WITH MIDDLE DOT,1249779
🏧,AUTOMATED TELLER MACHINE,1228963
🚤,SPEEDBOAT,1221502
🕗,CLOCK FACE EIGHT OCLOCK,1206460
💾,FLOPPY DISK,1198386
🍢,ODEN,1176056
🕖,CLOCK FACE SEVEN OCLOCK,1163722
🚄,HIGH-SPEED TRAIN,1161467
🔇,SPEAKER WITH CANCELLATION STROKE,1136021
📠,FAX MACHINE,1135773
🕔,CLOCK FACE FIVE OCLOCK,1130491
🎦,CINEMA,1129186
📑,BOOKMARK TABS,1110309
👡,WOMANS SANDAL,1090153
🏭,FACTORY,1077302
📂,OPEN FILE FOLDER,1053409
🚆,TRAIN,1041987
📳,VIBRATION MODE,1039571
🏤,EUROPEAN POST OFFICE,1032359
🎽,RUNNING SHIRT WITH SASH,1030205
🏮,IZAKAYA LANTERN,1027589
🚵,MOUNTAIN BICYCLIST,1019361
🚥,HORIZONTAL TRAFFIC LIGHT,1008508
🚃,RAILWAY CAR,996286
📙,ORANGE BOOK,993599
🕚,CLOCK FACE ELEVEN OCLOCK,991789
🚐,MINIBUS,981750
🍘,RICE CRACKER,950339
🕦,CLOCK FACE ELEVEN-THIRTY,944739
📯,POSTAL HORN,938807
🎿,SKI AND SKI BOOT,903872
🚇,METRO,867031
🚭,NO SMOKING SYMBOL,862203
🎴,FLOWER PLAYING CARDS,853467
📟,PAGER,839531
🗾,SILHOUETTE OF JAPAN,825927
📵,NO MOBILE PHONES,816017
🕞,CLOCK FACE THREE-THIRTY,815257
⛎,OPHIUCHUS,813126
🔀,TWISTED RIGHTWARDS ARROWS,801686
📫,CLOSED MAILBOX WITH RAISED FLAG,794519
📁,FILE FOLDER,790141
🚎,TROLLEYBUS,781446
🚋,TRAM CAR,772219
🚅,HIGH-SPEED TRAIN WITH BULLET NOSE,762643
🏣,JAPANESE POST OFFICE,738024
🚉,STATION,728114
🈺,SQUARED CJK UNIFIED IDEOGRAPH-55B6,723623
📔,NOTEBOOK WITH DECORATIVE COVER,722398
🏯,JAPANESE CASTLE,710609
📤,OUTBOX TRAY,707219
🔢,INPUT SYMBOL FOR NUMBERS,695636
📐,TRIANGULAR RULER,681001
🚏,BUS STOP,679693
🚳,NO BICYCLES,675242
🚊,TRAM,665491
🈯️,SQUARED CJK UNIFIED IDEOGRAPH-6307,659026
🔩,NUT AND BOLT,648171
🚈,LIGHT RAIL,644425
🆎,NEGATIVE SQUARED AB,625064
🚷,NO PEDESTRIANS,612301
🚾,WATER CLOSET,598542
🆖,SQUARED NG,596516
🈵,SQUARED CJK UNIFIED IDEOGRAPH-6E80,586416
🈳,SQUARED CJK UNIFIED IDEOGRAPH-7A7A,568977
🚸,CHILDREN CROSSING,544847
🀄️,MAHJONG TILE RED DRAGON,544330
🔏,LOCK WITH INK PEN,540722
🚟,SUSPENSION RAILWAY,511753
🚻,RESTROOM,510553
🚰,POTABLE WATER SYMBOL,509331
🈁,SQUARED KATAKANA KOKO,502474
➗,HEAVY DIVISION SIGN,492664
🉑,CIRCLED IDEOGRAPH ACCEPT,484180
👝,POUCH,479306
🕤,CLOCK FACE NINE-THIRTY,478851
🆑,SQUARED CL,473861
🚡,AERIAL TRAMWAY,473845
🕜,CLOCK FACE ONE-THIRTY,473689
🛄,BAGGAGE CLAIM,454056
🚠,MOUNTAIN CABLEWAY,453452
🚞,MOUNTAIN RAILWAY,444626
🕝,CLOCK FACE TWO-THIRTY,437806
🕧,CLOCK FACE TWELVE-THIRTY,437126
🕢,CLOCK FACE SEVEN-THIRTY,432340
📪,CLOSED MAILBOX WITH LOWERED FLAG,420501
📭,OPEN MAILBOX WITH LOWERED FLAG,414671
🕣,CLOCK FACE EIGHT-THIRTY,412901
🈶,SQUARED CJK UNIFIED IDEOGRAPH-6709,394279
🕟,CLOCK FACE FOUR-THIRTY,393801
🈂,SQUARED KATAKANA SA,383473
🕠,CLOCK FACE FIVE-THIRTY,373563
🈚️,SQUARED CJK UNIFIED IDEOGRAPH-7121,362562
🛂,PASSPORT CONTROL,360888
🚝,MONORAIL,357809
🔠,INPUT SYMBOL FOR LATIN CAPITAL LETTERS,357326
🈲,SQUARED CJK UNIFIED IDEOGRAPH-7981,356779
🕡,CLOCK FACE SIX-THIRTY,351986
📇,CARD INDEX,343742
🔡,INPUT SYMBOL FOR LATIN SMALL LETTERS,338800
🚱,NON-POTABLE WATER SYMBOL,338305
🚯,DO NOT LITTER SYMBOL,310798
🈴,SQUARED CJK UNIFIED IDEOGRAPH-5408,308000
🈷,SQUARED CJK UNIFIED IDEOGRAPH-6708,300908
🔤,INPUT SYMBOL FOR LATIN LETTERS,290842
🈸,SQUARED CJK UNIFIED IDEOGRAPH-7533,277489
🔣,INPUT SYMBOL FOR SYMBOLS,246670
